Section,Region,District,Chiefdom,Location,Facility,Type,InCharge,Contact,Year,Month,AllOut,Suspected,Tested,Confirmed,Treated,Presumed,ThresholdAllOut,ThresholdSuspected,ThresholdTested,ThresholdConfirmed,ThresholdTreated,ThresholdPresumed,LowerBoundAllOut,UpperBoundAllOut,LowerBoundSuspected,UpperBoundSuspected,LowerBoundTested,UpperBoundTested,LowerBoundConfirmed,UpperBoundConfirmed,LowerBoundTreated,UpperBoundTreated
Surveillance,,,,,Bandajuma Sowa CHC,,,,2025,February,487,457,457,196,196,0,606.0,603.0,603.0,321.0,321.0,50,470.0,606.0,427.0,603.0,427.0,603.0,177.0,321.0,177.0,321.0
Surveillance,,,,,Bandajuma Sowa CHC,,,,2025,March,549,519,519,247,247,0,606.0,603.0,603.0,321.0,321.0,50,470.0,606.0,427.0,603.0,427.0,603.0,177.0,321.0,177.0,321.0
Surveillance,,,,,Bandajuma Sowa CHC,,,,2025,April,533,522,522,244,244,0,606.0,603.0,603.0,321.0,321.0,50,470.0,606.0,427.0,603.0,427.0,603.0,177.0,321.0,177.0,321.0
Surveillance,,,,,Bandajuma Sowa CHC,,,,2025,May,560,537,537,282,282,0,606.0,603.0,603.0,321.0,321.0,50,470.0,606.0,427.0,603.0,427.0,603.0,177.0,321.0,177.0,321.0
Surveillance,,,,,Bandajuma Sowa CHC,,,,2025,June,555,551,551,268,268,0,606.0,603.0,603.0,321.0,321.0,50,470.0,606.0,427.0,603.0,427.0,603.0,177.0,321.0,177.0,321.0
Surveillance,,,,,Bandajuma Sowa CHC,,,,2025,July,523,496,496,241,241,0,606.0,603.0,603.0,321.0,321.0,50,470.0,606.0,427.0,603.0,427.0,603.0,177.0,321.0,177.0,321.0
Surveillance,,,,,Bandajuma Sowa CHC,,,,2025,August,540,520,520,241,241,0,606.0,603.0,603.0,321.0,321.0,50,470.0,606.0,427.0,603.0,427.0,603.0,177.0,321.0,177.0,321.0
Surveillance,,,,,Bandajuma Sowa CHC,,,,2025,September,521,493,493,245,245,0,606.0,603.0,603.0,321.0,321.0,50,470.0,606.0,427.0,603.0,427.0,603.0,177.0,321.0,177.0,321.0
Surveillance,,,,,Bandajuma Sowa CHC,,,,2025,October,519,487,487,222,222,0,606.0,603.0,603.0,321.0,321.0,50,470.0,606.0,427.0,603.0,427.0,603.0,177.0,321.0,177.0,321.0
Surveillance,,,,,Bandajuma Sowa CHC,,,,2025,November,511,476,476,208,208,0,606.0,603.0,603.0,321.0,321.0,50,470.0,606.0,427.0,603.0,427.0,603.0,177.0,321.0,177.0,321.0
Surveillance,,,,,Bandajuma Sowa CHC,,,,2025,December,536,511,511,231,231,0,606.0,603.0,603.0,321.0,321.0,50,470.0,606.0,427.0,603.0,427.0,603.0,177.0,321.0,177.0,321.0
Surveillance,,,,,Geoma Jarjoh CHP,,,,2025,January,228,190,190,72,72,0,369.0,288.5,288.5,166.5,166.5,50,113.0,369.0,116.5,288.5,116.5,288.5,18.5,166.5,18.5,166.5
Surveillance,,,,,Geoma Jarjoh CHP,,,,2025,February,268,212,212,74,74,0,369.0,288.5,288.5,166.5,166.5,50,113.0,369.0,116.5,288.5,116.5,288.5,18.5,166.5,18.5,166.5
Surveillance,,,,,Geoma Jarjoh CHP,,,,2025,March,241,188,188,82,82,0,369.0,288.5,288.5,166.5,166.5,50,113.0,369.0,116.5,288.5,116.5,288.5,18.5,166.5,18.5,166.5
Surveillance,,,,,Geoma Jarjoh CHP,,,,2025,April,237,191,191,87,87,0,369.0,288.5,288.5,166.5,166.5,50,113.0,369.0,116.5,288.5,116.5,288.5,18.5,166.5,18.5,166.5
Surveillance,,,,,Geoma Jarjoh CHP,,,,2025,May,258,196,196,94,78,0,369.0,288.5,288.5,166.5,166.5,50,113.0,369.0,116.5,288.5,116.5,288.5,18.5,166.5,18.5,166.5
Surveillance,,,,,Geoma Jarjoh CHP,,,,2025,June,327,269,264,117,117,0,369.0,288.5,288.5,166.5,166.5,50,113.0,369.0,116.5,288.5,116.5,288.5,18.5,166.5,18.5,166.5
Surveillance,,,,,Geoma Jarjoh CHP,,,,2025,July,327,269,259,117,117,0,369.0,288.5,288.5,166.5,166.5,50,113.0,369.0,116.5,288.5,116.5,288.5,18.5,166.5,18.5,166.5
Surveillance,,,,,Geoma Jarjoh CHP,,,,2025,August,273,224,224,111,111,0,369.0,288.5,288.5,166.5,166.5,50,113.0,369.0,116.5,288.5,116.5,288.5,18.5,166.5,18.5,166.5
Surveillance,,,,,Geoma Jarjoh CHP,,,,2025,September,209,181,181,95,95,0,369.0,288.5,288.5,166.5,166.5,50,113.0,369.0,116.5,288.5,116.5,288.5,18.5,166.5,18.5,166.5
Surveillance,,,,,Geoma Jarjoh CHP,,,,2025,October,180,153,153,74,74,0,369.0,288.5,288.5,166.5,166.5,50,113.0,369.0,116.5,288.5,116.5,288.5,18.5,166.5,18.5,166.5
Surveillance,,,,,Geoma Jarjoh CHP,,,,2025,November,198,176,176,71,71,0,369.0,288.5,288.5,166.5,166.5,50,113.0,369.0,116.5,288.5,116.5,288.5,18.5,166.5,18.5,166.5
Surveillance,,,,,Geoma Jarjoh CHP,,,,2025,December,206,170,140,72,72,0,369.0,288.5,288.5,166.5,166.5,50,113.0,369.0,116.5,288.5,116.5,288.5,18.5,166.5,18.5,166.5
Surveillance,,,,,Lower Komende MCHP,,,,2025,January,125,108,108,81,81,0,293.0,328.0,328.0,233.5,216.0,50,5.0,293.0,0,328.0,0,328.0,0,233.5,0,216.0
Surveillance,,,,,Lower Komende MCHP,,,,2025,February,131,80,80,42,42,0,293.0,328.0,328.0,233.5,216.0,50,5.0,293.0,0,328.0,0,328.0,0,233.5,0,216.0
Surveillance,,,,,Lower Komende MCHP,,,,2025,March,113,120,120,95,95,0,293.0,328.0,328.0,233.5,216.0,50,5.0,293.0,0,328.0,0,328.0,0,233.5,0,216.0
Surveillance,,,,,Lower Komende MCHP,,,,2025,April,110,92,62,47,47,0,293.0,328.0,328.0,233.5,216.0,50,5.0,293.0,0,328.0,0,328.0,0,233.5,0,216.0
Surveillance,,,,,Lower Komende MCHP,,,,2025,May,84,69,69,31,31,0,293.0,328.0,328.0,233.5,216.0,50,5.0,293.0,0,328.0,0,328.0,0,233.5,0,216.0
Surveillance,,,,,Lower Komende MCHP,,,,2025,June,177,154,154,135,135,0,293.0,328.0,328.0,233.5,216.0,50,5.0,293.0,0,328.0,0,328.0,0,233.5,0,216.0
Surveillance,,,,,Lower Komende MCHP,,,,2025,July,103,149,139,112,112,0,293.0,328.0,328.0,233.5,216.0,50,5.0,293.0,0,328.0,0,328.0,0,233.5,0,216.0
Surveillance,,,,,Lower Komende MCHP,,,,2025,August,147,210,210,167,167,0,293.0,328.0,328.0,233.5,216.0,50,5.0,293.0,0,328.0,0,328.0,0,233.5,0,216.0
Surveillance,,,,,Lower Komende MCHP,,,,2025,September,218,248,248,127,127,0,293.0,328.0,328.0,233.5,216.0,50,5.0,293.0,0,328.0,0,328.0,0,233.5,0,216.0
Surveillance,,,,,Lower Komende MCHP,,,,2025,October,191,196,196,142,142,0,293.0,328.0,328.0,233.5,216.0,50,5.0,293.0,0,328.0,0,328.0,0,233.5,0,216.0
Surveillance,,,,,Lower Komende MCHP,,,,2025,November,185,181,161,142,112,0,293.0,328.0,328.0,233.5,216.0,50,5.0,293.0,0,328.0,0,328.0,0,233.5,0,216.0
Surveillance,,,,,Lower Komende MCHP,,,,2025,December,171,138,138,81,81,0,293.0,328.0,328.0,233.5,216.0,50,5.0,293.0,0,328.0,0,328.0,0,233.5,0,216.0
Surveillance,,,,,Upper Komende MCHP,,,,2025,January,0,95,95,74,74,0,175.5,138.0,138.0,96.5,96.5,50,43.5,175.5,66.0,138.0,66.0,138.0,36.5,96.5,36.5,96.5
Surveillance,,,,,Upper Komende MCHP,,,,2025,February,111,111,111,67,67,0,175.5,138.0,138.0,96.5,96.5,50,43.5,175.5,66.0,138.0,66.0,138.0,36.5,96.5,36.5,96.5
Surveillance,,,,,Upper Komende MCHP,,,,2025,March,106,98,98,59,59,0,175.5,138.0,138.0,96.5,96.5,50,43.5,175.5,66.0,138.0,66.0,138.0,36.5,96.5,36.5,96.5
Surveillance,,,,,Upper Komende MCHP,,,,2025,April,108,105,105,73,73,0,175.5,138.0,138.0,96.5,96.5,50,43.5,175.5,66.0,138.0,66.0,138.0,36.5,96.5,36.5,96.5
Surveillance,,,,,Upper Komende MCHP,,,,2025,May,126,120,120,81,81,0,175.5,138.0,138.0,96.5,96.5,50,43.5,175.5,66.0,138.0,66.0,138.0,36.5,96.5,36.5,96.5
Surveillance,,,,,Upper Komende MCHP,,,,2025,June,231,209,209,131,131,0,175.5,138.0,138.0,96.5,96.5,50,43.5,175.5,66.0,138.0,66.0,138.0,36.5,96.5,36.5,96.5
Surveillance,,,,,Upper Komende MCHP,,,,2025,July,98,95,95,72,72,0,175.5,138.0,138.0,96.5,96.5,50,43.5,175.5,66.0,138.0,66.0,138.0,36.5,96.5,36.5,96.5
Surveillance,,,,,Upper Komende MCHP,,,,2025,August,101,98,98,67,67,0,175.5,138.0,138.0,96.5,96.5,50,43.5,175.5,66.0,138.0,66.0,138.0,36.5,96.5,36.5,96.5
Surveillance,,,,,Upper Komende MCHP,,,,2025,September,90,87,87,58,58,0,175.5,138.0,138.0,96.5,96.5,50,43.5,175.5,66.0,138.0,66.0,138.0,36.5,96.5,36.5,96.5
Surveillance,,,,,Upper Komende MCHP,,,,2025,October,93,93,93,63,63,0,175.5,138.0,138.0,96.5,96.5,50,43.5,175.5,66.0,138.0,66.0,138.0,36.5,96.5,36.5,96.5
Surveillance,,,,,Upper Komende MCHP,,,,2025,November,75,73,73,43,43,0,175.5,138.0,138.0,96.5,96.5,50,43.5,175.5,66.0,138.0,66.0,138.0,36.5,96.5,36.5,96.5
Surveillance,,,,,Upper Komende MCHP,,,,2025,December,176,84,84,49,47,0,175.5,138.0,138.0,96.5,96.5,50,43.5,175.5,66.0,138.0,66.0,138.0,36.5,96.5,36.5,96.5
Surveillance,,,,,Vaawahun Sowa MCHP,,,,2025,January,301,208,208,130,130,0,443.0,340.5,340.5,194.5,194.5,50,59.0,443.0,48.5,340.5,48.5,340.5,22.5,194.5,22.5,194.5
Surveillance,,,,,Vaawahun Sowa MCHP,,,,2025,February,216,161,161,92,92,0,443.0,340.5,340.5,194.5,194.5,50,59.0,443.0,48.5,340.5,48.5,340.5,22.5,194.5,22.5,194.5
Surveillance,,,,,Vaawahun Sowa MCHP,,,,2025,March,178,138,138,83,83,0,443.0,340.5,340.5,194.5,194.5,50,59.0,443.0,48.5,340.5,48.5,340.5,22.5,194.5,22.5,194.5
Surveillance,,,,,Vaawahun Sowa MCHP,,,,2025,April,203,158,158,87,87,0,443.0,340.5,340.5,194.5,194.5,50,59.0,443.0,48.5,340.5,48.5,340.5,22.5,194.5,22.5,194.5
Surveillance,,,,,Vaawahun Sowa MCHP,,,,2025,May,286,178,178,95,95,0,443.0,340.5,340.5,194.5,194.5,50,59.0,443.0,48.5,340.5,48.5,340.5,22.5,194.5,22.5,194.5
Surveillance,,,,,Vaawahun Sowa MCHP,,,,2025,June,314,263,263,147,147,0,443.0,340.5,340.5,194.5,194.5,50,59.0,443.0,48.5,340.5,48.5,340.5,22.5,194.5,22.5,194.5
Surveillance,,,,,Vaawahun Sowa MCHP,,,,2025,July,264,237,237,141,130,0,443.0,340.5,340.5,194.5,194.5,50,59.0,443.0,48.5,340.5,48.5,340.5,22.5,194.5,22.5,194.5
Surveillance,,,,,Vaawahun Sowa MCHP,,,,2025,August,203,169,169,87,87,0,443.0,340.5,340.5,194.5,194.5,50,59.0,443.0,48.5,340.5,48.5,340.5,22.5,194.5,22.5,194.5
Surveillance,,,,,Vaawahun Sowa MCHP,,,,2025,September,229,219,219,129,129,0,443.0,340.5,340.5,194.5,194.5,50,59.0,443.0,48.5,340.5,48.5,340.5,22.5,194.5,22.5,194.5
Surveillance,,,,,Vaawahun Sowa MCHP,,,,2025,October,299,231,231,117,117,0,443.0,340.5,340.5,194.5,194.5,50,59.0,443.0,48.5,340.5,48.5,340.5,22.5,194.5,22.5,194.5
Surveillance,,,,,Vaawahun Sowa MCHP,,,,2025,November,155,125,125,61,60,0,443.0,340.5,340.5,194.5,194.5,50,59.0,443.0,48.5,340.5,48.5,340.5,22.5,194.5,22.5,194.5
Surveillance,,,,,Vaawahun Sowa MCHP,,,,2025,December,198,96,105,69,60,0,443.0,340.5,340.5,194.5,194.5,50,59.0,443.0,48.5,340.5,48.5,340.5,22.5,194.5,22.5,194.5
Surveillance,,,,,Bangorma MCHP,,,,2025,January,200,180,180,94,82,0,258.5,248.5,248.5,121.5,94.0,50,94.5,258.5,100.5,248.5,100.5,248.5,45.5,121.5,62.0,94.0
Surveillance,,,,,Bangorma MCHP,,,,2025,February,185,185,185,74,74,0,258.5,248.5,248.5,121.5,94.0,50,94.5,258.5,100.5,248.5,100.5,248.5,45.5,121.5,62.0,94.0
Surveillance,,,,,Bangorma MCHP,,,,2025,March,184,184,184,82,82,0,258.5,248.5,248.5,121.5,94.0,50,94.5,258.5,100.5,248.5,100.5,248.5,45.5,121.5,62.0,94.0
Surveillance,,,,,Bangorma MCHP,,,,2025,April,193,193,193,93,93,0,258.5,248.5,248.5,121.5,94.0,50,94.5,258.5,100.5,248.5,100.5,248.5,45.5,121.5,62.0,94.0
Surveillance,,,,,Bangorma MCHP,,,,2025,May,248,185,185,81,81,0,258.5,248.5,248.5,121.5,94.0,50,94.5,258.5,100.5,248.5,100.5,248.5,45.5,121.5,62.0,94.0
Surveillance,,,,,Bangorma MCHP,,,,2025,June,195,195,195,81,81,0,258.5,248.5,248.5,121.5,94.0,50,94.5,258.5,100.5,248.5,100.5,248.5,45.5,121.5,62.0,94.0
Surveillance,,,,,Bangorma MCHP,,,,2025,July,142,142,142,79,79,0,258.5,248.5,248.5,121.5,94.0,50,94.5,258.5,100.5,248.5,100.5,248.5,45.5,121.5,62.0,94.0
Surveillance,,,,,Bangorma MCHP,,,,2025,August,197,197,197,102,102,0,258.5,248.5,248.5,121.5,94.0,50,94.5,258.5,100.5,248.5,100.5,248.5,45.5,121.5,62.0,94.0
Surveillance,,,,,Bangorma MCHP,,,,2025,September,158,158,158,82,82,0,258.5,248.5,248.5,121.5,94.0,50,94.5,258.5,100.5,248.5,100.5,248.5,45.5,121.5,62.0,94.0
Surveillance,,,,,Bangorma MCHP,,,,2025,October,154,154,154,69,69,0,258.5,248.5,248.5,121.5,94.0,50,94.5,258.5,100.5,248.5,100.5,248.5,45.5,121.5,62.0,94.0
Surveillance,,,,,Bangorma MCHP,,,,2025,November,156,156,156,74,74,0,258.5,248.5,248.5,121.5,94.0,50,94.5,258.5,100.5,248.5,100.5,248.5,45.5,121.5,62.0,94.0
Surveillance,,,,,Bangorma MCHP,,,,2025,December,146,146,146,69,69,0,258.5,248.5,248.5,121.5,94.0,50,94.5,258.5,100.5,248.5,100.5,248.5,45.5,121.5,62.0,94.0
Surveillance,,,,,Borma (Yakemu Kpukumu) MCHP,,,,2025,January,99,171,171,82,82,0,206.5,163.0,165.5,95.0,95.0,50,34.5,206.5,107.0,163.0,105.5,165.5,39.0,95.0,39.0,95.0
Surveillance,,,,,Borma (Yakemu Kpukumu) MCHP,,,,2025,February,132,132,132,58,58,0,206.5,163.0,165.5,95.0,95.0,50,34.5,206.5,107.0,163.0,105.5,165.5,39.0,95.0,39.0,95.0
Surveillance,,,,,Borma (Yakemu Kpukumu) MCHP,,,,2025,March,116,116,116,45,45,0,206.5,163.0,165.5,95.0,95.0,50,34.5,206.5,107.0,163.0,105.5,165.5,39.0,95.0,39.0,95.0
Surveillance,,,,,Borma (Yakemu Kpukumu) MCHP,,,,2025,April,142,142,142,74,74,0,206.5,163.0,165.5,95.0,95.0,50,34.5,206.5,107.0,163.0,105.5,165.5,39.0,95.0,39.0,95.0
Surveillance,,,,,Borma (Yakemu Kpukumu) MCHP,,,,2025,May,80,132,132,62,62,0,206.5,163.0,165.5,95.0,95.0,50,34.5,206.5,107.0,163.0,105.5,165.5,39.0,95.0,39.0,95.0
Surveillance,,,,,Borma (Yakemu Kpukumu) MCHP,,,,2025,June,73,93,93,52,55,0,206.5,163.0,165.5,95.0,95.0,50,34.5,206.5,107.0,163.0,105.5,165.5,39.0,95.0,39.0,95.0
Surveillance,,,,,Borma (Yakemu Kpukumu) MCHP,,,,2025,July,81,130,130,66,66,0,206.5,163.0,165.5,95.0,95.0,50,34.5,206.5,107.0,163.0,105.5,165.5,39.0,95.0,39.0,95.0
Surveillance,,,,,Borma (Yakemu Kpukumu) MCHP,,,,2025,August,138,128,128,60,60,0,206.5,163.0,165.5,95.0,95.0,50,34.5,206.5,107.0,163.0,105.5,165.5,39.0,95.0,39.0,95.0
Surveillance,,,,,Borma (Yakemu Kpukumu) MCHP,,,,2025,September,131,131,131,62,62,0,206.5,163.0,165.5,95.0,95.0,50,34.5,206.5,107.0,163.0,105.5,165.5,39.0,95.0,39.0,95.0
Surveillance,,,,,Borma (Yakemu Kpukumu) MCHP,,,,2025,October,156,143,143,75,75,0,206.5,163.0,165.5,95.0,95.0,50,34.5,206.5,107.0,163.0,105.5,165.5,39.0,95.0,39.0,95.0
Surveillance,,,,,Borma (Yakemu Kpukumu) MCHP,,,,2025,November,139,122,122,64,64,0,206.5,163.0,165.5,95.0,95.0,50,34.5,206.5,107.0,163.0,105.5,165.5,39.0,95.0,39.0,95.0
Surveillance,,,,,Borma (Yakemu Kpukumu) MCHP,,,,2025,December,142,138,148,62,62,0,206.5,163.0,165.5,95.0,95.0,50,34.5,206.5,107.0,163.0,105.5,165.5,39.0,95.0,39.0,95.0
Surveillance,,,,,Karlu CHC,,,,2025,January,177,154,154,72,72,0,183.5,158.5,152.5,110.0,110.0,50,99.5,183.5,66.5,158.5,76.5,152.5,6.0,110.0,6.0,110.0
Surveillance,,,,,Karlu CHC,,,,2025,February,132,100,100,33,33,0,183.5,158.5,152.5,110.0,110.0,50,99.5,183.5,66.5,158.5,76.5,152.5,6.0,110.0,6.0,110.0
Surveillance,,,,,Karlu CHC,,,,2025,March,158,117,117,27,27,0,183.5,158.5,152.5,110.0,110.0,50,99.5,183.5,66.5,158.5,76.5,152.5,6.0,110.0,6.0,110.0
Surveillance,,,,,Karlu CHC,,,,2025,April,131,105,105,44,44,0,183.5,158.5,152.5,110.0,110.0,50,99.5,183.5,66.5,158.5,76.5,152.5,6.0,110.0,6.0,110.0
Surveillance,,,,,Karlu CHC,,,,2025,May,139,101,101,45,45,0,183.5,158.5,152.5,110.0,110.0,50,99.5,183.5,66.5,158.5,76.5,152.5,6.0,110.0,6.0,110.0
Surveillance,,,,,Karlu CHC,,,,2025,June,144,120,120,54,54,0,183.5,158.5,152.5,110.0,110.0,50,99.5,183.5,66.5,158.5,76.5,152.5,6.0,110.0,6.0,110.0
Surveillance,,,,,Karlu CHC,,,,2025,July,126,112,112,59,59,0,183.5,158.5,152.5,110.0,110.0,50,99.5,183.5,66.5,158.5,76.5,152.5,6.0,110.0,6.0,110.0
Surveillance,,,,,Karlu CHC,,,,2025,August,152,129,129,71,71,0,183.5,158.5,152.5,110.0,110.0,50,99.5,183.5,66.5,158.5,76.5,152.5,6.0,110.0,6.0,110.0
Surveillance,,,,,Karlu CHC,,,,2025,September,129,94,94,57,57,0,183.5,158.5,152.5,110.0,110.0,50,99.5,183.5,66.5,158.5,76.5,152.5,6.0,110.0,6.0,110.0
Surveillance,,,,,Karlu CHC,,,,2025,October,140,124,124,69,69,0,183.5,158.5,152.5,110.0,110.0,50,99.5,183.5,66.5,158.5,76.5,152.5,6.0,110.0,6.0,110.0
Surveillance,,,,,Karlu CHC,,,,2025,November,111,98,113,62,62,0,183.5,158.5,152.5,110.0,110.0,50,99.5,183.5,66.5,158.5,76.5,152.5,6.0,110.0,6.0,110.0
Surveillance,,,,,Karlu CHC,,,,2025,December,133,121,121,74,74,0,183.5,158.5,152.5,110.0,110.0,50,99.5,183.5,66.5,158.5,76.5,152.5,6.0,110.0,6.0,110.0
Surveillance,,,,,Kombeima MCHP,,,,2025,January,119,119,119,63,63,0,354.0,354.0,354.0,160.5,165.5,50,0,354.0,0,354.0,0,354.0,4.5,160.5,1.5,165.5
Surveillance,,,,,Kombeima MCHP,,,,2025,February,130,130,130,78,78,0,354.0,354.0,354.0,160.5,165.5,50,0,354.0,0,354.0,0,354.0,4.5,160.5,1.5,165.5
Surveillance,,,,,Kombeima MCHP,,,,2025,March,198,198,198,76,76,0,354.0,354.0,354.0,160.5,165.5,50,0,354.0,0,354.0,0,354.0,4.5,160.5,1.5,165.5
Surveillance,,,,,Kombeima MCHP,,,,2025,April,138,138,138,75,75,0,354.0,354.0,354.0,160.5,165.5,50,0,354.0,0,354.0,0,354.0,4.5,160.5,1.5,165.5
Surveillance,,,,,Kombeima MCHP,,,,2025,May,213,213,213,104,104,0,354.0,354.0,354.0,160.5,165.5,50,0,354.0,0,354.0,0,354.0,4.5,160.5,1.5,165.5
Surveillance,,,,,Kombeima MCHP,,,,2025,June,222,222,222,102,105,0,354.0,354.0,354.0,160.5,165.5,50,0,354.0,0,354.0,0,354.0,4.5,160.5,1.5,165.5
Surveillance,,,,,Kombeima MCHP,,,,2025,July,245,245,245,111,111,0,354.0,354.0,354.0,160.5,165.5,50,0,354.0,0,354.0,0,354.0,4.5,160.5,1.5,165.5
Surveillance,,,,,Kombeima MCHP,,,,2025,August,66,66,66,15,15,0,354.0,354.0,354.0,160.5,165.5,50,0,354.0,0,354.0,0,354.0,4.5,160.5,1.5,165.5
Surveillance,,,,,Kombeima MCHP,,,,2025,September,95,95,95,48,48,0,354.0,354.0,354.0,160.5,165.5,50,0,354.0,0,354.0,0,354.0,4.5,160.5,1.5,165.5
Surveillance,,,,,Kombeima MCHP,,,,2025,October,174,176,176,80,80,0,354.0,354.0,354.0,160.5,165.5,50,0,354.0,0,354.0,0,354.0,4.5,160.5,1.5,165.5
Surveillance,,,,,Kombeima MCHP,,,,2025,November,81,78,78,41,41,0,354.0,354.0,354.0,160.5,165.5,50,0,354.0,0,354.0,0,354.0,4.5,160.5,1.5,165.5
Surveillance,,,,,Kombeima MCHP,,,,2025,December,145,141,141,79,79,0,354.0,354.0,354.0,160.5,165.5,50,0,354.0,0,354.0,0,354.0,4.5,160.5,1.5,165.5
Surveillance,,,,,Kombopi MCHP,,,,2025,January,77,71,71,67,67,0,106.0,84.0,86.0,95.5,92.5,50,58.0,106.0,60.0,84.0,54.0,86.0,19.5,95.5,24.5,92.5
Surveillance,,,,,Kombopi MCHP,,,,2025,February,96,69,69,50,50,0,106.0,84.0,86.0,95.5,92.5,50,58.0,106.0,60.0,84.0,54.0,86.0,19.5,95.5,24.5,92.5
Surveillance,,,,,Kombopi MCHP,,,,2025,March,85,66,66,44,44,0,106.0,84.0,86.0,95.5,92.5,50,58.0,106.0,60.0,84.0,54.0,86.0,19.5,95.5,24.5,92.5
Surveillance,,,,,Kombopi MCHP,,,,2025,April,116,102,102,67,67,0,106.0,84.0,86.0,95.5,92.5,50,58.0,106.0,60.0,84.0,54.0,86.0,19.5,95.5,24.5,92.5
Surveillance,,,,,Kombopi MCHP,,,,2025,May,88,69,69,48,48,0,106.0,84.0,86.0,95.5,92.5,50,58.0,106.0,60.0,84.0,54.0,86.0,19.5,95.5,24.5,92.5
Surveillance,,,,,Kombopi MCHP,,,,2025,June,82,74,74,59,59,0,106.0,84.0,86.0,95.5,92.5,50,58.0,106.0,60.0,84.0,54.0,86.0,19.5,95.5,24.5,92.5
Surveillance,,,,,Kombopi MCHP,,,,2025,July,81,78,78,74,74,0,106.0,84.0,86.0,95.5,92.5,50,58.0,106.0,60.0,84.0,54.0,86.0,19.5,95.5,24.5,92.5
Surveillance,,,,,Kombopi MCHP,,,,2025,August,74,69,69,61,61,0,106.0,84.0,86.0,95.5,92.5,50,58.0,106.0,60.0,84.0,54.0,86.0,19.5,95.5,24.5,92.5
Surveillance,,,,,Kombopi MCHP,,,,2025,September,76,69,69,63,63,0,106.0,84.0,86.0,95.5,92.5,50,58.0,106.0,60.0,84.0,54.0,86.0,19.5,95.5,24.5,92.5
Surveillance,,,,,Kombopi MCHP,,,,2025,October,73,66,66,58,58,0,106.0,84.0,86.0,95.5,92.5,50,58.0,106.0,60.0,84.0,54.0,86.0,19.5,95.5,24.5,92.5
Surveillance,,,,,Kombopi MCHP,,,,2025,November,61,55,55,48,48,0,106.0,84.0,86.0,95.5,92.5,50,58.0,106.0,60.0,84.0,54.0,86.0,19.5,95.5,24.5,92.5
Surveillance,,,,,Kombopi MCHP,,,,2025,December,76,75,65,47,57,0,106.0,84.0,86.0,95.5,92.5,50,58.0,106.0,60.0,84.0,54.0,86.0,19.5,95.5,24.5,92.5
Surveillance,,,,,Messima MCHP,,,,2025,January,136,127,127,112,112,0,124.0,106.5,106.5,88.0,86.5,50,60.0,124.0,46.5,106.5,46.5,106.5,16.0,88.0,18.5,86.5
Surveillance,,,,,Messima MCHP,,,,2025,February,96,89,89,65,65,0,124.0,106.5,106.5,88.0,86.5,50,60.0,124.0,46.5,106.5,46.5,106.5,16.0,88.0,18.5,86.5
Surveillance,,,,,Messima MCHP,,,,2025,March,84,84,84,57,57,0,124.0,106.5,106.5,88.0,86.5,50,60.0,124.0,46.5,106.5,46.5,106.5,16.0,88.0,18.5,86.5
Surveillance,,,,,Messima MCHP,,,,2025,April,85,70,70,34,34,0,124.0,106.5,106.5,88.0,86.5,50,60.0,124.0,46.5,106.5,46.5,106.5,16.0,88.0,18.5,86.5
Surveillance,,,,,Messima MCHP,,,,2025,May,90,70,70,40,40,0,124.0,106.5,106.5,88.0,86.5,50,60.0,124.0,46.5,106.5,46.5,106.5,16.0,88.0,18.5,86.5
Surveillance,,,,,Messima MCHP,,,,2025,June,84,73,73,50,50,0,124.0,106.5,106.5,88.0,86.5,50,60.0,124.0,46.5,106.5,46.5,106.5,16.0,88.0,18.5,86.5
Surveillance,,,,,Messima MCHP,,,,2025,July,62,72,72,44,44,0,124.0,106.5,106.5,88.0,86.5,50,60.0,124.0,46.5,106.5,46.5,106.5,16.0,88.0,18.5,86.5
Surveillance,,,,,Messima MCHP,,,,2025,August,60,69,69,40,40,0,124.0,106.5,106.5,88.0,86.5,50,60.0,124.0,46.5,106.5,46.5,106.5,16.0,88.0,18.5,86.5
Surveillance,,,,,Messima MCHP,,,,2025,September,100,69,69,43,45,0,124.0,106.5,106.5,88.0,86.5,50,60.0,124.0,46.5,106.5,46.5,106.5,16.0,88.0,18.5,86.5
Surveillance,,,,,Messima MCHP,,,,2025,October,87,68,68,48,48,0,124.0,106.5,106.5,88.0,86.5,50,60.0,124.0,46.5,106.5,46.5,106.5,16.0,88.0,18.5,86.5
Surveillance,,,,,Messima MCHP,,,,2025,November,100,75,75,61,61,0,124.0,106.5,106.5,88.0,86.5,50,60.0,124.0,46.5,106.5,46.5,106.5,16.0,88.0,18.5,86.5
Surveillance,,,,,Messima MCHP,,,,2025,December,84,67,67,61,61,0,124.0,106.5,106.5,88.0,86.5,50,60.0,124.0,46.5,106.5,46.5,106.5,16.0,88.0,18.5,86.5
Surveillance,,,,,Saama Sowunde MCHP,,,,2025,January,116,112,112,69,69,0,225.5,181.5,181.5,127.0,127.0,50,5.5,225.5,25.5,181.5,25.5,181.5,15.0,127.0,15.0,127.0
Surveillance,,,,,Saama Sowunde MCHP,,,,2025,February,143,102,102,59,59,0,225.5,181.5,181.5,127.0,127.0,50,5.5,225.5,25.5,181.5,25.5,181.5,15.0,127.0,15.0,127.0
